Summary

Total Wins:  [10877, 16180, 15845, 16433, 14703, 16483, 15822, 16523, 15968, 15527, 13891, 16364, 15852, 15370, 15888, 16616, 16557, 15713, 15452, 15631, 16375, 14000, 15232, 15842, 16304, 15893, 16519, 14943, 16247, 15923, 16225, 10802]
Worst Competitor:  [16, 16, 1, 1, 2, 2, 3, 3, 20, 20, 5, 5, 22, 6, 7, 7, 24, 24, 25, 9, 26, 26, 11, 11, 28, 28, 29, 29, 30, 30, 15, 15]
Wins vs. Worst:  [33, 61, 303, 328, 333, 350, 332, 337, 318, 286, 232, 257, 339, 286, 312, 329, 324, 339, 305, 314, 244, 250, 287, 274, 334, 330, 327, 322, 292, 337, 64, 24]

Matchups

['0', '0', '0', '1', '1']  vs.  ['1', '0', '1', '1', '1']  Result:  545 - 455 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '0', '0', '0']  Result:  404 - 596 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '0', '0', '1']  Result:  563 - 437 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '0', '1', '0']  Result:  539 - 461 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '0', '1', '1']  Result:  595 - 405 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '1', '0', '0']  Result:  499 - 501 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '1', '0', '1']  Result:  578 - 422 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '1', '1', '0']  Result:  547 - 453 - 0
['0', '0', '0', '1', '1']  vs.  ['1', '1', '1', '1', '1']  Result:  702 - 298 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '0', '1', '0', '1']  Result:  515 - 485 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '0', '1', '1', '0']  Result:  486 - 514 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '0', '1', '1', '1']  Result:  510 - 490 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '0', '0', '0']  Result:  575 - 425 - 0
