Summary

Total Wins:  [107988, 162212, 158256, 163513, 148344, 164440, 158836, 164882, 158724, 153179, 139874, 164203, 158361, 153440, 158134, 166728, 165760, 158441, 153692, 158263, 163938, 139995, 153317, 158933, 164092, 157776, 163866, 148047, 163549, 158157, 162796, 108264]
Worst Competitor:  [16, 16, 1, 1, 2, 2, 3, 3, 20, 20, 5, 5, 22, 6, 7, 7, 24, 24, 25, 9, 26, 26, 11, 11, 28, 28, 29, 29, 30, 30, 15, 15]
Wins vs. Worst:  [329, 643, 3286, 3330, 3427, 3286, 3387, 3389, 2913, 2892, 2353, 2648, 3542, 3042, 3325, 3328, 3365, 3319, 3134, 3451, 2730, 2260, 2986, 2863, 3303, 3340, 3322, 3394, 3302, 3327, 640, 292]

Matchups

['0', '0', '1', '0', '1']  vs.  ['1', '1', '0', '1', '0']  Result:  5009 - 4991 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '0', '1', '1']  Result:  5590 - 4410 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '1', '0', '0']  Result:  4636 - 5364 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '1', '0', '1']  Result:  5331 - 4669 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '1', '1', '0']  Result:  4967 - 5033 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '1', '1', '1']  Result:  6784 - 3216 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '0', '1', '1', '1']  Result:  4996 - 5004 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '0', '0', '0']  Result:  4656 - 5344 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '0', '0', '1']  Result:  4664 - 5336 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '0', '1', '0']  Result:  5565 - 4435 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '0', '1', '1']  Result:  5007 - 4993 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '1', '0', '0']  Result:  6411 - 3589 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '1', '0', '1']  Result:  6958 - 3042 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '1', '1', '0']  Result:  5045 - 4955 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '1', '1', '1']  Result:  5034 - 4966 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '0', '0', '0']  Result:  4708 - 5292 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '0', '0', '1']  Result:  4690 - 5310 - 0
